LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-71.098344,42.3739927,18,Clary St,,,,,,,b99e22be287f5d21
-71.1005278,42.3741821,16,Springfield St,,,,,,,fc0948cbe8b1e55d
-71.1084067,42.3661277,26,Soden St,,,,,,,1d535997daf3e25e
-71.1086701,42.3667835,411,Franklin St,,,,,,,c3eaee8a9603d6fe
-71.1078281,42.3660007,348,Franklin St,,,,,,,2d5e4f86ac8f1c5c
-71.1078256,42.36682,466,Green St,,,,,,,7a995769d5e3bc7c
-71.1074221,42.3657324,332,Franklin St,,,,,,,5b8f1e12fbc85d1a
-71.1062206,42.3667438,806,Massachusetts Ave,,,,,,,e4a5817d7572834e
-71.1058609,42.3664537,770,Massachusetts Ave,,,,,,,962d22473a82ed70
-71.1054665,42.3653071,5,Western Ave,,,,,,,50099dc607c50ff6
-71.1068959,42.3672059,838,Massachusetts Ave,,,,,,,f327c450e180db6a
-71.107019,42.3672955,842,Massachusetts Ave,,,,,,,1c01ded8b4167b04
-71.1075832,42.3652369,101,Western Ave,,,,,,,a6058c05414a924d
-71.1084119,42.3642899,109,River St,,,,,,,6acda0ba8a5cc9c3
-71.1092855,42.365401,29,Kinnaird St,,,,,,,e622648ab694865b
-71.1143239,42.3670694,900,Memorial Dr,,,,,,,a4c08e1a5ee3975c
-71.115295,42.366809,900,Memorial Dr,,,,,,,5589b014fd351a53
-71.1149872,42.3662305,900,Memorial Dr,,,,,,,6eb85528f4cdde0c
-71.1154646,42.3659365,900,Memorial Dr,,,,,,,a73e82b69be0b6dc
-71.1138157,42.3669084,900,Memorial Dr,,,,,,,a81fc85bcd7c3e4d
-71.1105248,42.3639016,12,Howard St,,,,,,,76dba1b8c15aaab2
-71.1101092,42.3641906,11-A,Jay St,,,,,,,62791f1e82fa232e
-71.1085671,42.3650656,135,Western Ave,,,,,,,b3d49dd8ed575358
-71.1063957,42.3657284,13,Pleasant St,,,,,,,7875d7289a22ff0f
